# required-ci-jobs.tsv — the CI jobs that MUST have passed on the exact commit
# a release is published from.
#
# Consumed by scripts/verify_ci_green.py, which the Release workflow runs before
# it builds or publishes anything.  Kept honest by scripts/check_release_gating.py,
# which fails when this file and .github/workflows/ci.yml disagree in EITHER
# direction:
#
#   * a ci.yml job with no row here      -> FAIL (new gate, silently not required)
#   * a row here with no ci.yml job      -> FAIL (stale row, or a gate was deleted)
#
# So deleting a gate from ci.yml cannot quietly weaken what a release is checked
# against: it becomes a build error that forces an explicit, reviewed edit here.
#
# Column 2 is the *prefix* of the check-run name, not the whole name. GitHub
# renders a matrix job as "<name> (<matrix values>)" and substitutes
# ${{ matrix.* }} inside a name, so only the part left of the first
# interpolation is knowable from the file. verify_ci_green.py requires at least
# one successful job whose name starts with the prefix — and separately requires
# the whole workflow run to have concluded `success`, which is what proves every
# matrix leg passed, not just the one that matched.
#
# A row may name the workflow the job lives in, as `<workflow file>:<job id>`.
# An unqualified row means ci.yml, so every row written before this existed keeps
# its meaning byte-for-byte. The qualifier exists because not every release-gating
# job is in ci.yml: the public-artifact hygiene gates (no model/tool credit in a
# FILE, and the same rule over commit MESSAGES, which are permanent) all live in
# docs-claims.yml, which runs unfiltered on its own trigger. While that workflow
# had no row here, verify_ci_green.py only asked whether it was RED -- and a
# workflow that never ran is not red, so a release could be cut from a commit
# those gates had never examined. check_release_gating.py R5 now compares each row
# against the workflow it names, in both directions, and scripts/check_gate_wiring.py
# fails when a row's job, or one of its gate STEPS, is missing.
#
# Format: <ci.yml job id> TAB <check-run name prefix>
#     or: <workflow file>:<job id> TAB <check-run name prefix>
build_test	Build & Test
cross_substrate_identity	Cross-substrate bit-identity (
mindfuzz_cross_runner_identity	Fuzzer cross-runner mic@3 identity (avx2 == neon)
format	Format Check
docs	Documentation
mindcraft_self_host	Mindcraft self-host (RFC 0008 Phase G — KEYSTONE)
executable_miscompile_gate	Executable miscompile gate (compile + run + assert)
executable_semantics_tier	Executable-semantics test tier (mlir-build)
mindcraft_check	Mindcraft check (RFC 0007 Phase 6)
ri_d1_mlir_free	RI-D1 MLIR-free native path (MLIR compiled out)
sdlc_integrity	SDLC gate integrity (merge + enforcement pairing)
docs-claims.yml:docs-claims	Docs claims gate
