# name	expected_exit	bytes	sha256	consumed	note
pos_module_value_id_300	0	26	db8f1522a184942b3d8671ab5962156150a85da124d17b980cf34c4a3b545d79	26	semantic validate_core_value_ids boundary
neg_next_id_below_module_value	41	23	b619745183ae1c0ffbbc951f9d028a38973ade5cf2ef4504dbcfb62cf177919c	23	semantic validate_core_value_ids boundary
neg_next_id_below_sparse_value	41	26	792d2874829d5de4a8d9eb14bda41126f54bdcaffb0cce91e3449dafe870f347	26	semantic validate_core_value_ids boundary
pos_duplicate_module_instruction_id	0	26	c2be18497439dbe426c74d3efeeef482fdbeae368437dd2304cd72e2b27ffb08	26	semantic validate_core_value_ids boundary
pos_scope_sparse_duplicate_nested	0	81	c766b066ad12fbe0fe9219a36ee8736c89faa547a244ba42f071f37d780ac7d6	81	unsorted sparse duplicate destinations remain enclosing-scope definitions while nested bodies stay opaque
neg_duplicate_module_value_row	39	26	643b9bb149f76062fbfa09d80a7bb02d565bdf1bac4c8b08ab56dbf7178ff12c	26	semantic validate_core_value_ids boundary
pos_function_scope_id_not_module_bound	0	47	48d6c4c91fa690c2b85cc3907d34504c402488bebc83282939fc867135adbcc2	47	function-scope ValueId is not compared with module next_id
neg_return_missing_value	42	41	332d693fed5053ba7057cef1ed5e26af152f0729f9e42d0bb492cb8297c4705c	41	return/signature canonical metadata refusal
neg_return_type_mismatch	42	47	f4779606deb25a54af4864174a3b85a8eea0a74a89ab24fbf5759c1914771baa	47	return/signature canonical metadata refusal
neg_function_name_mismatch	43	47	dd9974fd2c4ca54fee037bbc9f9311de3ed2093827f717cf6166bb60e79940c4	0	FnDef name disagrees with resolved function declaration identity
pos_function_two_params	0	49	537eb06d76c21a320771a1b96fcd03664b99ffb94014d6defcf38097978f7cc1	49	matching two-parameter declaration and FnDef
neg_nonlocal_function_body	45	49	c20abe7a861d2c0e165807b3b28fd1db06bcce0d09541bf67683b96597305db0	0	FnDef must reference a Local declaration
neg_function_parameter_arity	44	44	f23759ea2fbc68cf3949e8a2e341d700e79d3f3cd553bf743d31538314390aa9	0	FnDef parameter count disagrees with declaration
pos_nested_return_ids	0	75	de863b51d99edc80e20753cf48414946864b8e327d3a501401dd92da87cb9f33	75	outer return300 and nested return301 remain distinct
neg_nested_outer_return_row	42	75	c28db539c3664a3f53f4acc6b2284da49d9943e28d2c9bd50c28df224e246750	0	nested return301 must not replace outer return300
neg_duplicate_function_siblings	46	66	ce02f4be2928a32a9bdf6b2b1edcc10a4df491c2e989bf51f88a5564cdd206a2	66	semantic duplicate FnDef identity, sibling bodies
neg_duplicate_function_nested	46	66	cabd2cc3c10fa561eead9cb3c9a2250035141833361716fec298d7932132dc67	66	semantic duplicate FnDef identity, nested body
pos_distinct_function_identities	0	75	913f6386e2e1cdb74becdf4134953501d64d56238e698fd16aa90c0ebf1dcb27	75	semantic distinct FnDef identities accepted
neg_module_scope_return	47	25	0ccd86733386e968cce20b3792a680a6cc5740d2a5f7070c5aa3a41299e4569a	25	semantic module-scope Return under authority
neg_no_semantic_authority	48	19	d314e5a794fb75c3ac431a099d2c8028d5652b4c166ed4a95d3eff0ed0087238	19	semantic authority condition, distinguishes conditional from blanket
neg_parameter_type_mismatch	50	49	4366449d0bc2c39849976eca518f27b4176c80a51578fe82efd68c03158805cf	49	semantic parameter descriptor disagrees with the declaration
neg_parameter_type_missing	49	46	88ca308c85ae21cb32442bca4f80d73d82b05751c5f084c3673521eca93b3331	46	semantic parameter absent from the function's own scoped rows
neg_parameter_type_module_fallback	49	52	9660eb39a3e9e91e0c4e3af163979c626182f8a68502c45fe99922d747af0946	52	a module row must not satisfy a function parameter
pos_function_distinct_param_types	0	49	bbf2b8a3f97797944da729d8bef2d3380e2ed9caf0e089cbb0d4bb8846d35942	49	distinct parameter types pin positional order
neg_module_row_outside_scope	51	23	7e876b7f63b04f7d772f06e01b3e959c8d029f90d022788478c5c25aff6a5619	23	semantic module row types a value nothing defines
neg_function_row_defined_in_nested_only	51	60	954e83ae76543e0f09783446db9b45fd52e419d72c3b570770ab0264f24612a8	60	nested-frame isolation: a nested body does not define the enclosing scope
